STAID,STANAME,CN,LAT,LON,HGHT
732,KUUSAMO LENTOASEMA-1,FI,65.995,29.225833,264
733,ROVANIEMI LENTOASEMA,FI,66.558056,25.835278,195
734,MUONIO ALAMUONIO,FI,67.968056,23.680278,254
735,INARI IVALO LENTOASEMA,FI,68.606944,27.418056,147
736,ABBEVILLE,FR,50.135833,1.833889,69
737,LILLE-LESQUIN,FR,50.57,3.0975,47
738,CAEN-CARPIQUET,FR,49.18,0.455833,67
740,ALENCON,FR,48.445556,0.110278,143
742,NANTES-BOUGUENAIS,FR,47.15,1.608889,26
745,DIJON-LONGVIC,FR,47.267778,5.088056,219
749,POITIERS - BIARD,FR,46.593889,0.314167,123
750,CLERMONT-FERRAND,FR,45.786667,3.149167,331
752,OLSZTYN,PL,53.768333,20.421389,133
756,TARBES - OSSUN,FR,43.188056,0.0,360
758,BASTIA,FR,42.540556,9.485278,10
786,MONTELIMAR,FR,44.580833,4.733056,73
789,CHIOS,GR,38.333056,26.133056,4
793,PTE DE LA HAGUE,FR,49.725278,1.939444,6
812,KAHLER ASTEN (WST),DE,51.181667,8.49,839
837,MITILINI,GR,39.06,26.6,5
849,POGANY,HU,45.995,18.235,199
851,SZEGED KULTERULET,HU,46.255833,20.090556,81
852,DEBRECEN,HU,47.490278,21.610556,106
922,TERESPOL,PL,52.078333,23.621667,133
923,LESZNO,PL,51.835556,16.534444,91
924,WIELUN,PL,51.210278,18.556667,199
926,SULEJOW,PL,51.353056,19.866389,188
927,WLODAWA,PL,51.553056,23.529167,177
928,RACIBORZ,PL,50.060833,18.190556,206
929,KRAKOW,PL,50.077778,19.795,237
930,BIELSKO-BIALA,PL,49.806944,19.000278,396
932,NOWY SACZ,PL,49.626944,20.688333,292
933,LESKO,PL,49.466389,22.341667,420
942,KARASJOK-MARKANNJARGA,NO,69.463333,25.501944,131
948,OCNA SUGATAG,RO,47.783056,23.933056,504
951,IASI,RO,47.166667,27.633056,102
953,NESBYEN-TODOKK,NO,60.566944,9.133333,166
955,SUOLOVUOPMI-LULIT,NO,69.579444,23.534167,381
960,BACAU,RO,46.533056,26.916667,184
961,MIERCUREA CIUC,RO,46.366667,25.733056,661
962,DEVA,RO,45.866667,22.9,230
